year,total_production,exports,imports,primary_energy_supply,primary_energy_requirement,energy_consumption,natural_gas,coal_production,peat_products,renewable_production,import_dependency,domestic_supply,energy_balance,renew_prod_%,no_renew_prod_%,country
1990,3471.0,716.0,7813.0,10131.0,9515.0,7249.0,1877.0,16.0,1411.0,168.0,0.7005231467772184,0.3426117856085283,10568.0,0.04840103716508211,0.9518870642466148,Ireland
1991,3291.0,758.0,7716.0,10341.0,9703.0,7448.0,1923.0,1.0,1200.0,168.0,0.6728556232472681,0.3182477516681172,10249.0,0.05104831358249772,0.9492555454269219,Ireland
1992,3086.0,841.0,7636.0,10334.0,9717.0,7325.0,1902.0,1.0,1021.0,162.0,0.6575382233404297,0.2986258951035417,9881.0,0.0524951393389501,0.9475048606610499,Ireland
1993,3456.0,806.0,7892.0,10511.0,9954.0,7591.0,2161.0,1.0,1134.0,161.0,0.6741508895442869,0.3287984016744363,10542.0,0.04658564814814815,0.9537037037037037,Ireland
1994,3565.0,1059.0,8221.0,10997.0,10389.0,7861.0,2198.0,1.0,1192.0,174.0,0.6512685277803038,0.3241793216331727,10727.0,0.048807854137447405,0.9511921458625526,Ireland
1995,4105.0,1027.0,8775.0,11105.0,10581.0,7979.0,2253.0,1.0,1697.0,155.0,0.6977037370553805,0.3696533093201261,11853.0,0.037758830694275276,0.9624847746650427,Ireland
1996,3544.0,903.0,9366.0,11761.0,11201.0,8335.0,2172.0,0.0,1203.0,169.0,0.7195816682254911,0.30133492049995747,12007.0,0.047686230248306996,0.952313769751693,Ireland
1997,2857.0,1388.0,11061.0,12391.0,11704.0,8646.0,1910.0,0.0,766.0,181.0,0.7806472439673957,0.23057057541764184,12530.0,0.06335316765838292,0.936646832341617,Ireland
1998,2463.0,1364.0,12177.0,13187.0,12561.0,9356.0,1410.0,0.0,822.0,231.0,0.8199742170319254,0.18677485402290134,13276.0,0.09378806333739342,0.9062119366626066,Ireland
1999,2462.0,1190.0,13117.0,13922.0,13321.0,9944.0,1106.0,0.0,1135.0,222.0,0.8567016233299813,0.17684240770004309,14389.0,0.0901705930138099,0.9102355808285947,Ireland
2000,2161.0,1409.0,13812.0,14470.0,13803.0,10814.0,960.0,0.0,965.0,235.0,0.8571527297857636,0.14934346924671735,14564.0,0.10874595094863489,0.8907913003239241,Ireland
2001,1776.0,1485.0,15199.0,15152.0,14598.0,11262.0,660.0,0.0,883.0,234.0,0.9050950369588173,0.11721224920802534,15490.0,0.13175675675675674,0.8688063063063063,Ireland
2002,1546.0,1605.0,15357.0,15263.0,14685.0,11309.0,679.0,0.0,606.0,261.0,0.9010024241630086,0.10129070300727248,15298.0,0.16882276843467012,0.8311772315653299,Ireland
2003,1837.0,1657.0,15097.0,14869.0,14652.0,11631.0,545.0,0.0,1056.0,236.0,0.9038940076669582,0.12354563185150312,15277.0,0.12847033206314643,0.8715296679368536,Ireland
2004,1880.0,1274.0,15159.0,15389.0,15150.0,11910.0,690.0,0.0,906.0,284.0,0.9022678536617064,0.12216518292286699,15765.0,0.15106382978723404,0.8489361702127659,Ireland
2005,1702.0,1554.0,16318.0,16318.0,15857.0,12606.0,488.0,0.0,845.0,370.0,0.9047677411447481,0.10430199779384729,16466.0,0.21739130434782608,0.7831962397179788,Ireland
2006,1686.0,1342.0,16196.0,16251.0,15903.0,12944.0,432.0,0.0,826.0,428.0,0.9140360593194264,0.10374746169466495,16540.0,0.2538552787663108,0.7461447212336892,Ireland
2007,1435.0,1251.0,15773.0,16292.0,16184.0,13132.0,322.0,0.0,643.0,469.0,0.8913577215811441,0.08808003928308372,15957.0,0.32682926829268294,0.6724738675958188,Ireland
2008,1573.0,1259.0,16336.0,16637.0,16358.0,13189.0,368.0,0.0,660.0,544.0,0.9062330949089379,0.09454829596682095,16650.0,0.3458359821996186,0.6535282898919262,Ireland
2009,1464.0,986.0,14395.0,15060.0,14797.0,11976.0,255.0,0.0,578.0,618.0,0.8903718459495352,0.09721115537848606,14873.0,0.42213114754098363,0.5689890710382514,Ireland
2010,1855.0,1287.0,14556.0,15059.0,14731.0,11884.0,237.0,0.0,1011.0,597.0,0.8811342054585298,0.12318215020917724,15124.0,0.32183288409703503,0.6727762803234502,Ireland
2011,1723.0,1683.0,14367.0,14059.0,13763.0,11082.0,197.0,0.0,774.0,738.0,0.9021978803613344,0.12255494700903335,14407.0,0.4283226929773651,0.563551944283227,Ireland
2012,1292.0,1840.0,13599.0,13722.0,13453.0,10724.0,181.0,0.0,321.0,745.0,0.8569450517417286,0.09415537093718117,13051.0,0.576625386996904,0.38854489164086686,Ireland
2013,2327.0,1450.0,13743.0,13620.0,13332.0,10908.0,164.0,0.0,1327.0,775.0,0.9025697503671072,0.17085168869309839,14620.0,0.3330468414267297,0.6407391491190374,Ireland
2014,2054.0,1489.0,13109.0,13451.0,13251.0,10875.0,132.0,0.0,982.0,874.0,0.8638762917255223,0.1527024013084529,13674.0,0.4255111976630964,0.5423563777994158,Ireland
2015,1963.0,1889.0,14533.0,14126.0,13919.0,11413.0,113.0,0.0,769.0,1013.0,0.8950870734815234,0.13896361319552597,14607.0,0.5160468670402445,0.4493122771268467,Ireland
2016,4244.0,1793.0,12157.0,14787.0,14522.0,11800.0,2493.0,0.0,679.0,1005.0,0.7008859133022249,0.28700885913302226,14608.0,0.23680490103675778,0.7474081055607917,Ireland
2017,4888.0,2358.0,12250.0,14651.0,14411.0,11889.0,2854.0,0.0,744.0,1176.0,0.6751757559210976,0.3336291038154392,14780.0,0.24058919803600654,0.736088379705401,Ireland
